"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.546879742E2,6.500814195E1,2.560513130E1,2.723871978E1,1.206919128E0,1.594184570E2,4.748651638E0,6.236864913E0
1.556879768E2,6.500812708E1,2.560514451E1,2.693052000E1,1.214341825E0,1.594184570E2,4.748651630E0,6.341376055E0
1.566879773E2,6.500811330E1,2.560515670E1,2.699422678E1,1.328635811E0,1.595200195E2,4.748651640E0,6.257469610E0
1.576879780E2,6.500809991E1,2.560516852E1,2.672070707E1,1.087344399E0,1.595200195E2,4.748651625E0,6.654218940E0
1.586879793E2,6.500808347E1,2.560518304E1,2.721797079E1,1.549560672E0,1.595200195E2,4.748651645E0,6.034611526E0
1.596879797E2,6.500807252E1,2.560519271E1,2.702193392E1,1.034883087E0,1.595200195E2,4.748651624E0,6.446708262E0
1.606879796E2,6.500805594E1,2.560520735E1,2.715725480E1,1.519812139E0,1.595200195E2,4.748651658E0,6.317719828E0
1.616879796E2,6.500804622E1,2.560521592E1,2.763249190E1,1.034485409E0,1.595200195E2,4.748651637E0,6.637602997E0
1.626879799E2,6.500802706E1,2.560523284E1,2.754315456E1,1.657041326E0,1.595200195E2,4.748651663E0,6.160164556E0
1.636879804E2,6.500801276E1,2.560524547E1,2.738393812E1,1.546546855E0,1.595200195E2,4.748651660E0,6.566367502E0
1.646879786E2,6.500799909E1,2.560525754E1,2.754216280E1,1.561851499E0,1.595200195E2,4.748651659E0,6.751782365E0
1.656879784E2,6.500798640E1,2.560526875E1,2.721493191E1,1.493080574E0,1.595200195E2,4.748651649E0,6.707628211E0
1.666879779E2,6.500797323E1,2.560528037E1,2.730027771E1,1.523333100E0,1.595200195E2,4.748651636E0,6.849918613E0
1.676879766E2,6.500795647E1,2.560529360E1,2.748682614E1,1.501885093E0,1.542673340E2,4.748651638E0,6.831445834E0
1.686879756E2,6.500794389E1,2.560530794E1,2.742180178E1,1.480626397E0,1.542673340E2,4.748651653E0,6.768372321E0
1.696879745E2,6.500793124E1,2.560532234E1,2.746025871E1,1.473424790E0,1.542673340E2,4.748651642E0,6.848617043E0
1.706879724E2,6.500792129E1,2.560533368E1,2.743787861E1,1.478161442E0,1.542673340E2,4.748651619E0,6.798401144E0
1.716879717E2,6.500791397E1,2.560534203E1,2.711772665E1,1.499753917E0,1.103264982E2,4.748651579E0,6.718241348E0
1.726879700E2,6.500790982E1,2.560534676E1,2.719955080E1,1.506581477E0,9.522571388E1,4.748651551E0,6.736812847E0
1.736879683E2,6.500791229E1,2.560536852E1,2.711412442E1,1.488359446E0,8.350254527E1,4.748651521E0,6.584584869E0
1.746879666E2,6.500791644E1,2.560539659E1,2.728251233E1,1.499891634E0,7.592174810E1,4.748651501E0,6.522967854E0
1.756879644E2,6.500792201E1,2.560543056E1,2.676766876E1,1.461260444E0,7.316486360E1,4.748651475E0,6.417848097E0
1.766879631E2,6.500792858E1,2.560547129E1,2.717519176E1,1.473758019E0,7.381875924E1,4.748651479E0,6.444273477E0
1.776879604E2,6.500793875E1,2.560551808E1,2.722623465E1,1.558006248E0,6.836095804E1,4.748651473E0,6.434757362E0
1.786879597E2,6.500794798E1,2.560557297E1,2.745882643E1,1.504251550E0,7.123182639E1,4.748651496E0,6.432273729E0
1.796879561E2,6.500798403E1,2.560575162E1,2.724948630E1,1.517642894E0,7.228047943E1,4.748651483E0,6.422956761E0
1.806879542E2,6.500798734E1,2.560578494E1,2.724956647E1,1.501122918E0,7.228047943E1,4.748651478E0,6.272794442E0
1.816879525E2,6.500799679E1,2.560581590E1,2.793989509E1,1.503116597E0,7.228047943E1,4.748651464E0,6.388742296E0
1.826879500E2,6.500799736E1,2.560585092E1,2.756875267E1,1.503319925E0,7.228047943E1,4.748651497E0,6.350921472E0
1.836879480E2,6.500800180E1,2.560588468E1,2.799540173E1,1.481008676E0,7.228047943E1,4.748651509E0,6.178199950E0
1.846879450E2,6.500800977E1,2.560591399E1,2.848437039E1,1.459131015E0,7.228047943E1,4.748651509E0,6.167880128E0
1.856879429E2,6.500801260E1,2.560595173E1,2.794192185E1,1.540121304E0,7.228047943E1,4.748651500E0,6.005561933E0
1.866879400E2,6.500801643E1,2.560598683E1,2.783202992E1,1.493637915E0,7.348790741E1,4.748651483E0,6.144022084E0
1.876879370E2,6.500802018E1,2.560602267E1,2.784965499E1,1.495414635E0,7.348790741E1,4.748651488E0,6.123955852E0
1.886879349E2,6.500802764E1,2.560605642E1,2.864745437E1,1.504827805E0,7.173506165E1,4.748651490E0,5.927354712E0
1.896879317E2,6.500803170E1,2.560609000E1,2.852435364E1,1.500034277E0,7.173506165E1,4.748651494E0,5.918535563E0
1.906879293E2,6.500803740E1,2.560612186E1,2.860512495E1,1.490412181E0,7.173506165E1,4.748651480E0,5.920820598E0
1.916879277E2,6.500804514E1,2.560615366E1,2.856383366E1,1.481669785E0,7.173506165E1,4.748651470E0,5.992692752E0
1.926879240E2,6.500805245E1,2.560618494E1,2.859146647E1,1.492136427E0,6.982522583E1,4.748651460E0,6.032464099E0
